SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,100016,MADERA,PUBLIC,MADERA UNIFIED,MADERA,SHERMAN THOMAS CHARTER,26,Y,CONDITIONAL,0,0,
2016-2017,100040,SACRAMENTO,PUBLIC,GALT JOINT UNION ELEMENTARY,GALT,ROBERT L. MCCAFFREY MIDDLE,472,Y,CONDITIONAL,0,0,
2016-2017,100156,KINGS,PUBLIC,LEMOORE UNION ELEMENTARY,LEMOORE,LEMOORE UNIVERSITY ELEMENTARY CHARTER,59,Y,CONDITIONAL,0,0,
2016-2017,100206,SAN JOAQUIN,PUBLIC,STOCKTON UNIFIED,STOCKTON,GEORGE W. BUSH ELEMENTARY,93,Y,CONDITIONAL,0,0,
2016-2017,100263,RIVERSIDE,PUBLIC,COACHELLA VALLEY UNIFIED,THERMAL,TORO CANYON MIDDLE,584,Y,CONDITIONAL,0,0,
2016-2017,100479,CONTRA COSTA,PUBLIC,ANTIOCH UNIFIED,ANTIOCH,DALLAS RANCH MIDDLE,342,Y,CONDITIONAL,0,0,
2016-2017,100487,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,SACRAMENTO,NORWOOD JUNIOR HIGH,354,Y,CONDITIONAL,0,0,
2016-2017,100495,TULARE,PUBLIC,TULARE CITY,TULARE,LOS TULES MIDDLE,251,Y,CONDITIONAL,0,0,
2016-2017,100537,SUTTER,PUBLIC,YUBA CITY UNIFIED,YUBA CITY,ANDROS KARPEROS,206,Y,CONDITIONAL,0,0,
2016-2017,100669,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,STELLA MIDDLE CHARTER ACADEMY,121,Y,CONDITIONAL,0,0,
2016-2017,100776,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SUN VALLEY,NORTH VALLEY MILITARY INSTITUTE COLLEGE PREPARATORY ACADEMY,105,Y,CONDITIONAL,0,0,
2016-2017,100867,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP LOS ANGELES COLLEGE PREPARATORY,125,Y,CONDITIONAL,0,0,
2016-2017,100891,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN CLEMENTE,VISTA DEL MAR MIDDLE,214,Y,CONDITIONAL,1,0,
2016-2017,100891,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN CLEMENTE,VISTA DEL MAR MIDDLE,214,Y,OVERDUE,1,0,
2016-2017,100917,ORANGE,PUBLIC,CAPISTRANO UNIFIED,LADERA RANCH,LADERA RANCH MIDDLE,525,Y,CONDITIONAL,1,0,
2016-2017,100917,ORANGE,PUBLIC,CAPISTRANO UNIFIED,LADERA RANCH,LADERA RANCH MIDDLE,525,Y,OVERDUE,0,0,
2016-2017,100941,RIVERSIDE,PUBLIC,VAL VERDE UNIFIED,PERRIS,LAKESIDE MIDDLE,635,Y,CONDITIONAL,0,0,
2016-2017,100966,RIVERSIDE,PUBLIC,CORONA-NORCO UNIFIED,CORONA,EL CERRITO MIDDLE,536,Y,CONDITIONAL,0,0,
2016-2017,100990,SANTA CLARA,PUBLIC,GILROY UNIFIED,GILROY,SOLORSANO MIDDLE,256,Y,CONDITIONAL,0,0,
2016-2017,101014,KERN,PUBLIC,GREENFIELD UNION,BAKERSFIELD,MCKEE MIDDLE,344,Y,CONDITIONAL,0,0,
2016-2017,101022,LOS ANGELES,PUBLIC,WILLIAM S. HART UNION HIGH,SANTA CLARITA,RIO NORTE JUNIOR HIGH,620,Y,CONDITIONAL,0,0,
2016-2017,101048,SACRAMENTO,PUBLIC,SACRAMENTO CITY UNIFIED,SACRAMENTO,ST. HOPE PUBLIC SCHOOL 7,80,Y,CONDITIONAL,0,0,
2016-2017,101071,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,COASTAL ACADEMY,205,Y,OVERDUE,1,0,
2016-2017,101105,RIVERSIDE,PUBLIC,TEMECULA VALLEY UNIFIED,TEMECULA,ERLE STANLEY GARDNER MIDDLE,402,Y,CONDITIONAL,0,0,
2016-2017,101170,RIVERSIDE,PUBLIC,Perris Union High,PERRIS,CALIFORNIA MILITARY INSTITUTE,155,Y,CONDITIONAL,0,0,
2016-2017,101170,RIVERSIDE,PUBLIC,Perris Union High,PERRIS,CALIFORNIA MILITARY INSTITUTE,155,Y,OTHERS,0,0,
2016-2017,101170,RIVERSIDE,PUBLIC,Perris Union High,PERRIS,CALIFORNIA MILITARY INSTITUTE,155,Y,PME,0,0,
2016-2017,101204,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HIGH TECH MIDDLE,104,Y,CONDITIONAL,0,0,
2016-2017,101212,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,KIPP SUMMIT ACADEMY,104,Y,CONDITIONAL,0,0,
2016-2017,101212,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,KIPP SUMMIT ACADEMY,104,Y,PME,0,0,
2016-2017,101295,SACRAMENTO,PUBLIC,SACRAMENTO CITY UNIFIED,SACRAMENTO,SOL AUREUS COLLEGE PREPARATORY,22,Y,CONDITIONAL,0,0,
2016-2017,101337,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,KIPP BAYVIEW ACADEMY,74,Y,CONDITIONAL,0,0,
2016-2017,101345,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,KIPP ADELANTE PREPARATORY ACADEMY,87,Y,CONDITIONAL,0,0,
2016-2017,101352,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,KIPP SAN FRANCISCO BAY ACADEMY,94,Y,CONDITIONAL,0,0,
2016-2017,101360,SAN DIEGO,PUBLIC,NATIONAL ELEMENTARY,NATIONAL CITY,INTEGRITY CHARTER,41,Y,CONDITIONAL,0,0,
2016-2017,101444,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,KIPP ACADEMY OF OPPORTUNITY,104,Y,CONDITIONAL,0,0,
2016-2017,101493,STANISLAUS,PUBLIC,EMPIRE UNION ELEMENTARY,MODESTO,NORMAN N. GLICK MIDDLE,287,Y,CONDITIONAL,0,0,
2016-2017,101519,EL DORADO,PUBLIC,RESCUE UNION ELEMENTARY,RESCUE,PLEASANT GROVE MIDDLE,210,Y,CONDITIONAL,0,0,
2016-2017,101535,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,HERITAGE K-8 CHARTER,59,Y,CONDITIONAL,0,0,
2016-2017,101568,NAPA,PUBLIC,NAPA VALLEY UNIFIED,NAPA,HARVEST MIDDLE,269,Y,CONDITIONAL,0,0,
2016-2017,101683,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RENAISSANCE ARTS ACADEMY,58,Y,CONDITIONAL,0,0,
2016-2017,101683,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,RENAISSANCE ARTS ACADEMY,58,Y,OVERDUE,0,0,
2016-2017,101766,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,MCCLELLAN,COMMUNITY OUTREACH ACADEMY,141,Y,CONDITIONAL,0,0,
2016-2017,101766,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,MCCLELLAN,COMMUNITY OUTREACH ACADEMY,141,Y,OTHERS,0,0,
2016-2017,101766,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,MCCLELLAN,COMMUNITY OUTREACH ACADEMY,141,Y,OVERDUE,0,0,
2016-2017,101857,TULARE,PUBLIC,VISALIA UNIFIED,VISALIA,OAK GROVE ELEMENTARY,60,Y,CONDITIONAL,0,0,
2016-2017,101923,SONOMA,PUBLIC,ROSELAND,SANTA ROSA,ROSELAND CHARTER,245,Y,CONDITIONAL,0,0,
2016-2017,102301,TEHAMA,PUBLIC,CORNING UNION ELEMENTARY,CORNING,WOODSON ELEMENTARY,30,Y,CONDITIONAL,0,0,
2016-2017,102335,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OCEAN CHARTER,39,Y,CONDITIONAL,0,0,
2016-2017,102335,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OCEAN CHARTER,39,Y,OVERDUE,0,0,
2016-2017,102442,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LAKEVIEW TERRACE,PUC LAKEVIEW CHARTER ACADEMY,110,Y,CONDITIONAL,0,0,
2016-2017,102467,LOS ANGELES,PUBLIC,WILLIAM S. HART UNION HIGH,STEVENSON RANCH,RANCHO PICO JUNIOR HIGH,485,Y,CONDITIONAL,0,0,
2016-2017,102509,SAN BERNARDINO,PUBLIC,FONTANA UNIFIED,FONTANA,WAYNE RUBLE MIDDLE,428,Y,CONDITIONAL,0,0,
2016-2017,102525,SONOMA,PUBLIC,RINCON VALLEY UNION ELEMENTARY,SANTA ROSA,RINCON VALLEY CHARTER,177,Y,CONDITIONAL,0,0,
2016-2017,102541,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,NEW DESIGNS CHARTER,154,Y,CONDITIONAL,0,0,
2016-2017,102558,SAN BERNARDINO,PUBLIC,REDLANDS UNIFIED,HIGHLAND,BEATTIE MIDDLE,365,Y,CONDITIONAL,0,0,
2016-2017,102582,ORANGE,PUBLIC,FULLERTON ELEMENTARY,FULLERTON,ROBERT C. FISLER ELEMENTARY,102,Y,CONDITIONAL,0,0,
2016-2017,102590,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,BEAR VALLEY MIDDLE,382,Y,OVERDUE,0,0,
2016-2017,102590,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,BEAR VALLEY MIDDLE,382,Y,PME,1,0,
2016-2017,102640,SAN JOAQUIN,PUBLIC,LODI UNIFIED,LODI,MILLSWOOD MIDDLE,416,Y,CONDITIONAL,0,0,
2016-2017,102657,SAN JOAQUIN,PUBLIC,LODI UNIFIED,STOCKTON,CHRISTA MCAULIFFE MIDDLE,359,Y,CONDITIONAL,0,0,
2016-2017,102780,RIVERSIDE,PUBLIC,HEMET UNIFIED,HEMET,DIAMOND VALLEY MIDDLE,373,Y,CONDITIONAL,0,0,
2016-2017,102855,SANTA BARBARA,PUBLIC,SANTA MARIA-BONITA,SANTA MARIA,KUNST (TOMMIE) JUNIOR HIGH,576,Y,CONDITIONAL,0,0,
2016-2017,102947,SAN BERNARDINO,PUBLIC,ETIWANDA ELEMENTARY,ETIWANDA,DAY CREEK INTERMEDIATE,438,Y,CONDITIONAL,0,0,
2016-2017,1030766,FRESNO,PUBLIC,SANGER UNIFIED,SANGER,HALLMARK CHARTER,27,Y,CONDITIONAL,0,0,
2016-2017,1030766,FRESNO,PUBLIC,SANGER UNIFIED,SANGER,HALLMARK CHARTER,27,Y,OTHERS,0,0,
2016-2017,1030766,FRESNO,PUBLIC,SANGER UNIFIED,SANGER,HALLMARK CHARTER,27,Y,OVERDUE,0,0,
2016-2017,1030774,FRESNO,PUBLIC,WASHINGTON UNIFIED,FRESNO,W. E. B. DUBOIS PUBLIC CHARTER,27,Y,CONDITIONAL,0,0,
2016-2017,1030840,FRESNO,PUBLIC,FRESNO UNIFIED,FRESNO,CARTER G. WOODSON PUBLIC CHARTER,25,Y,CONDITIONAL,0,0,
2016-2017,105718,SAN JOAQUIN,PUBLIC,JEFFERSON ELEMENTARY,TRACY,ANTHONY C. TRAINA ELEMENTARY,96,Y,CONDITIONAL,0,0,
2016-2017,105759,RIVERSIDE,PUBLIC,TEMECULA VALLEY UNIFIED,MURRIETA,BELLA VISTA MIDDLE,429,Y,CONDITIONAL,0,0,
2016-2017,105866,SONOMA,PUBLIC,SONOMA VALLEY UNIFIED,SONOMA,WOODLAND STAR CHARTER,22,Y,CONDITIONAL,0,0,
2016-2017,105866,SONOMA,PUBLIC,SONOMA VALLEY UNIFIED,SONOMA,WOODLAND STAR CHARTER,22,Y,OVERDUE,0,0,
2016-2017,105890,SONOMA,PUBLIC,MARK WEST UNION ELEMENTARY,SANTA ROSA,MARK WEST CHARTER,64,Y,CONDITIONAL,0,0,
2016-2017,105973,SAN JOAQUIN,PUBLIC,MANTECA UNIFIED,MANTECA,WALTER WOODWARD ELEMENTARY,98,Y,CONDITIONAL,0,0,
2016-2017,105981,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,DESERT WILLOW MIDDLE,284,Y,CONDITIONAL,0,0,
2016-2017,106013,SHASTA,PUBLIC,Shasta Union High,REDDING,UNIVERSITY PREPARATORY,156,Y,CONDITIONAL,0,0,
2016-2017,106013,SHASTA,PUBLIC,Shasta Union High,REDDING,UNIVERSITY PREPARATORY,156,Y,OTHERS,0,0,
2016-2017,106013,SHASTA,PUBLIC,Shasta Union High,REDDING,UNIVERSITY PREPARATORY,156,Y,OVERDUE,0,0,
2016-2017,106062,RIVERSIDE,PUBLIC,BEAUMONT UNIFIED,BEAUMONT,SAN GORGONIO MIDDLE,334,Y,CONDITIONAL,0,0,
2016-2017,106070,LOS ANGELES,PUBLIC,LANCASTER ELEMENTARY,LANCASTER,ENDEAVOUR MIDDLE,283,Y,CONDITIONAL,0,0,
2016-2017,106294,SACRAMENTO,PUBLIC,SACRAMENTO COUNTY OFFICE OF EDUCATION,MATHER,SACRAMENTO COUNTY SH SPECIAL EDUCATION,33,Y,CONDITIONAL,0,0,
2016-2017,106294,SACRAMENTO,PUBLIC,SACRAMENTO COUNTY OFFICE OF EDUCATION,MATHER,SACRAMENTO COUNTY SH SPECIAL EDUCATION,33,Y,OVERDUE,0,0,
2016-2017,106351,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,WEST HILLS,IVY ACADEMIA,55,Y,CONDITIONAL,0,0,
2016-2017,106484,SAN JOAQUIN,PUBLIC,LAMMERSVILLE JOINT UNIFIED,MOUNTAIN HOUSE,WICKLUND ELEMENTARY,61,Y,CONDITIONAL,0,0,
2016-2017,106534,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,LOS ALTOS,BULLIS CHARTER,69,Y,OTHERS,0,0,
2016-2017,106534,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,LOS ALTOS,BULLIS CHARTER,69,Y,OVERDUE,0,0,
2016-2017,106534,SANTA CLARA,PUBLIC,SANTA CLARA COUNTY OFFICE OF EDUCATION,LOS ALTOS,BULLIS CHARTER,69,Y,PME,0,0,
2016-2017,106633,SANTA CLARA,PUBLIC,ALUM ROCK UNION ELEMENTARY,SAN JOSE,KIPP HEARTWOOD ACADEMY,102,Y,CONDITIONAL,0,0,
2016-2017,106674,YOLO,PUBLIC,DAVIS JOINT UNIFIED,DAVIS,FRANCES ELLEN WATKINS HARPER JUNIOR HIGH,221,Y,CONDITIONAL,0,0,
2016-2017,106740,FRESNO,PUBLIC,FRESNO UNIFIED,FRESNO,VALLEY PREPARATORY ACADEMY CHARTER,22,Y,CONDITIONAL,0,0,
2016-2017,106757,SACRAMENTO,PUBLIC,FOLSOM-CORDOVA UNIFIED,MATHER,FOLSOM CORDOVA K-8 COMMUNITY CHARTER,24,Y,CONDITIONAL,0,0,
2016-2017,106757,SACRAMENTO,PUBLIC,FOLSOM-CORDOVA UNIFIED,MATHER,FOLSOM CORDOVA K-8 COMMUNITY CHARTER,24,Y,PME,0,0,
2016-2017,106765,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN JUAN CAPISTRANO,CAPISTRANO CONNECTIONS ACADEMY,270,Y,CONDITIONAL,0,0,
2016-2017,106765,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN JUAN CAPISTRANO,CAPISTRANO CONNECTIONS ACADEMY,270,Y,OVERDUE,0,0,
2016-2017,106765,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN JUAN CAPISTRANO,CAPISTRANO CONNECTIONS ACADEMY,270,Y,PME,0,0,
2016-2017,106799,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,LA MESA,LEARNING CHOICE ACADEMY,64,Y,CONDITIONAL,0,0,
2016-2017,106799,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,LA MESA,LEARNING CHOICE ACADEMY,64,Y,OVERDUE,0,0,
2016-2017,106799,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,LA MESA,LEARNING CHOICE ACADEMY,64,Y,PME,0,0,
2016-2017,106807,PLACER,PUBLIC,TAHOE-TRUCKEE UNIFIED,TRUCKEE,ALDER CREEK MIDDLE,172,Y,CONDITIONAL,0,0,
2016-2017,106807,PLACER,PUBLIC,TAHOE-TRUCKEE UNIFIED,TRUCKEE,ALDER CREEK MIDDLE,172,Y,OTHERS,0,0,
2016-2017,106815,FRESNO,PUBLIC,KINGS CANYON JOINT UNIFIED,REEDLEY,THOMAS LAW REED ELEMENTARY,91,Y,CONDITIONAL,0,0,
2016-2017,106864,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,150,Y,CONDITIONAL,0,0,
2016-2017,106872,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PACOIMA,BERT CORONA CHARTER,110,Y,CONDITIONAL,0,0,
2016-2017,106906,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BAY AREA TECHNOLOGY,52,Y,CONDITIONAL,0,0,
2016-2017,106971,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,PANORAMA CITY,VISTA MIDDLE,406,Y,CONDITIONAL,0,0,
2016-2017,107011,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,INTERNATIONAL STUDIES LEARNING CENTER AT LEGACY HIGH SCHOOL COMPLEX,140,Y,CONDITIONAL,0,0,
2016-2017,107011,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,SOUTH GATE,INTERNATIONAL STUDIES LEARNING CENTER AT LEGACY HIGH SCHOOL COMPLEX,140,Y,PME,0,0,
2016-2017,107128,STANISLAUS,PUBLIC,CERES UNIFIED,CERES,WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY,50,Y,CONDITIONAL,0,0,
2016-2017,107128,STANISLAUS,PUBLIC,CERES UNIFIED,CERES,WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY,50,Y,OTHERS,0,0,
2016-2017,107128,STANISLAUS,PUBLIC,CERES UNIFIED,CERES,WHITMORE CHARTER SCHOOL OF ART & TECHNOLOGY,50,Y,OVERDUE,0,0,
2016-2017,107250,MENDOCINO,PUBLIC,POTTER VALLEY COMMUNITY UNIFIED,POTTER VALLEY,POTTER VALLEY JUNIOR HIGH,32,Y,CONDITIONAL,0,0,
2016-2017,107284,SONOMA,PUBLIC,LIBERTY ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SONOMA,51,Y,CONDITIONAL,0,0,
2016-2017,107284,SONOMA,PUBLIC,LIBERTY ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SONOMA,51,Y,OVERDUE,0,0,
2016-2017,107284,SONOMA,PUBLIC,LIBERTY ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SONOMA,51,Y,PME,0,0,
2016-2017,107318,SUTTER,PUBLIC,YUBA CITY UNIFIED,YUBA CITY,TWIN RIVERS CHARTER,48,Y,CONDITIONAL,0,0,
2016-2017,107359,RIVERSIDE,PUBLIC,HEMET UNIFIED,ANZA,HAMILTON ELEMENTARY,58,Y,CONDITIONAL,0,0,
2016-2017,107425,SAN BERNARDINO,PUBLIC,ADELANTO ELEMENTARY,ADELANTO,GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDLE,57,Y,CONDITIONAL,0,0,
2016-2017,107433,SAN BERNARDINO,PUBLIC,ADELANTO ELEMENTARY,ADELANTO,COLUMBIA MIDDLE,244,Y,CONDITIONAL,0,0,
2016-2017,107508,LOS ANGELES,PUBLIC,LENNOX,INGLEWOOD,CENTURY COMMUNITY CHARTER,149,Y,CONDITIONAL,0,0,
2016-2017,107557,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,CALAVERA HILLS MIDDLE,186,Y,CONDITIONAL,0,0,
2016-2017,107573,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HIGH TECH MIDDLE MEDIA ARTS,104,Y,CONDITIONAL,0,0,
2016-2017,107573,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HIGH TECH MIDDLE MEDIA ARTS,104,Y,OTHERS,0,0,
2016-2017,107573,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,HIGH TECH MIDDLE MEDIA ARTS,104,Y,OVERDUE,0,0,
2016-2017,107763,SANTA CLARA,PUBLIC,ALUM ROCK UNION ELEMENTARY,SAN JOSE,RENAISSANCE ACADEMY,99,Y,CONDITIONAL,0,0,
2016-2017,107839,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LIVERMORE VALLEY CHARTER,63,Y,CONDITIONAL,0,0,
2016-2017,107938,MADERA,PUBLIC,MADERA UNIFIED,MADERA,EZEQUIEL TAFOYA ALVARADO ACADEMY,53,Y,CONDITIONAL,0,0,
2016-2017,107938,MADERA,PUBLIC,MADERA UNIFIED,MADERA,EZEQUIEL TAFOYA ALVARADO ACADEMY,53,Y,OTHERS,0,0,
2016-2017,107938,MADERA,PUBLIC,MADERA UNIFIED,MADERA,EZEQUIEL TAFOYA ALVARADO ACADEMY,53,Y,PME,0,0,
2016-2017,108126,SANTA CLARA,PUBLIC,CUPERTINO UNION,CUPERTINO,SAM H. LAWSON MIDDLE,477,Y,CONDITIONAL,0,0,
2016-2017,108167,SANTA CLARA,PUBLIC,ALUM ROCK UNION ELEMENTARY,SAN JOSE,ADELANTE DUAL LANGUAGE ACADEMY,49,Y,CONDITIONAL,0,0,
2016-2017,108266,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,GOLDEN HILL K-8,34,Y,CONDITIONAL,0,0,
2016-2017,108324,CONTRA COSTA,PUBLIC,SAN RAMON VALLEY UNIFIED,SAN RAMON,WINDEMERE RANCH MIDDLE,429,Y,CONDITIONAL,0,0,
2016-2017,108332,SAN DIEGO,PUBLIC,POWAY UNIFIED,SAN DIEGO,OAK VALLEY MIDDLE,473,Y,CONDITIONAL,0,0,
2016-2017,108357,SAN JOAQUIN,PUBLIC,TRACY JOINT UNIFIED,TRACY,GEORGE KELLY ELEMENTARY,124,Y,CONDITIONAL,0,0,
2016-2017,108357,SAN JOAQUIN,PUBLIC,TRACY JOINT UNIFIED,TRACY,GEORGE KELLY ELEMENTARY,124,Y,PME,0,0,
2016-2017,108373,ORANGE,PUBLIC,SANTA ANA UNIFIED,SANTA ANA,MANUEL ESQUEDA ELEMENTARY,118,Y,CONDITIONAL,0,0,
2016-2017,108399,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,CESAR CHAVEZ MIDDLE,258,Y,CONDITIONAL,0,0,
2016-2017,108399,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,CESAR CHAVEZ MIDDLE,258,Y,OTHERS,0,0,
2016-2017,108399,LOS ANGELES,PUBLIC,LYNWOOD UNIFIED,LYNWOOD,CESAR CHAVEZ MIDDLE,258,Y,PME,0,0,
2016-2017,108415,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,RIO LINDA,HERITAGE PEAK CHARTER,85,Y,CONDITIONAL,0,0,
2016-2017,108415,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,RIO LINDA,HERITAGE PEAK CHARTER,85,Y,OVERDUE,0,0,
2016-2017,108415,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,RIO LINDA,HERITAGE PEAK CHARTER,85,Y,PME,0,0,
2016-2017,108423,SAN BERNARDINO,PUBLIC,APPLE VALLEY UNIFIED,APPLE VALLEY,VANGUARD PREPARATORY,169,Y,CONDITIONAL,0,0,
2016-2017,108522,SAN LUIS OBISPO,PUBLIC,SAN MIGUEL JOINT UNION,PASO ROBLES,CAPPY CULVER ELEMENTARY,21,Y,CONDITIONAL,0,0,
2016-2017,108548,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,IFTIN CHARTER,40,Y,CONDITIONAL,0,0,
2016-2017,108605,NAPA,PUBLIC,NAPA VALLEY UNIFIED,NAPA,STONE BRIDGE,26,Y,CONDITIONAL,0,0,
2016-2017,108605,NAPA,PUBLIC,NAPA VALLEY UNIFIED,NAPA,STONE BRIDGE,26,Y,OVERDUE,0,0,
2016-2017,108613,SAN JOAQUIN,PUBLIC,MANTECA UNIFIED,MANTECA,VERITAS ELEMENTARY,72,Y,CONDITIONAL,0,0,
2016-2017,108621,SACRAMENTO,PUBLIC,CENTER JOINT UNIFIED,ROSEVILLE,WILSON C. RILES MIDDLE,362,Y,CONDITIONAL,0,0,
2016-2017,108746,SACRAMENTO,PUBLIC,ELK GROVE UNIFIED,ELK GROVE,KATHERINE L. ALBIANI MIDDLE,723,Y,CONDITIONAL,0,0,
2016-2017,108761,STANISLAUS,PUBLIC,SYLVAN UNION ELEMENTARY,MODESTO,DANIEL J. SAVAGE MIDDLE,313,Y,CONDITIONAL,0,0,
2016-2017,108795,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,NORTH HIGHLANDS,CREATIVE CONNECTIONS ARTS ACADEMY,68,Y,CONDITIONAL,0,0,
2016-2017,108837,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,MCCLELLAN,COMMUNITY COLLABORATIVE CHARTER,27,Y,CONDITIONAL,0,0,
2016-2017,108837,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,MCCLELLAN,COMMUNITY COLLABORATIVE CHARTER,27,Y,OTHERS,0,0,
2016-2017,108837,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,MCCLELLAN,COMMUNITY COLLABORATIVE CHARTER,27,Y,PME,0,0,
2016-2017,108860,SACRAMENTO,PUBLIC,NATOMAS UNIFIED,SACRAMENTO,WESTLAKE CHARTER,90,Y,CONDITIONAL,0,0,
2016-2017,108886,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,GABRIELLA CHARTER,50,Y,CONDITIONAL,0,0,
2016-2017,108928,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,LARCHMONT CHARTER,106,Y,CONDITIONAL,0,0,
2016-2017,109009,TULARE,PUBLIC,BURTON ELEMENTARY,PORTERVILLE,SUMMIT CHARTER ACADEMY,166,Y,CONDITIONAL,0,0,
2016-2017,109066,ORANGE,PUBLIC,SANTA ANA UNIFIED,SANTA ANA,ORANGE COUNTY EDUCATIONAL ARTS ACADEMY,48,Y,CONDITIONAL,0,0,
2016-2017,109157,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,MAGNOLIA SCIENCE ACADEMY SAN DIEGO,153,Y,CONDITIONAL,0,0,
2016-2017,109488,SAN BERNARDINO,PUBLIC,SAN BERNARDINO CITY UNIFIED,SAN BERNARDINO,CESAR E. CHAVEZ MIDDLE,332,Y,CONDITIONAL,0,0,
2016-2017,109793,SUTTER,PUBLIC,MARCUM-ILLINOIS UNION ELEMENTARY,EAST NICOLAUS,SOUTH SUTTER CHARTER,203,Y,CONDITIONAL,0,0,
