SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,127183,KERN,PUBLIC,MARICOPA UNIFIED,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ MARICOPA,167,Y,UP-TO-DATE,116,69,
2016-2017,129007,SUTTER,PUBLIC,MERIDIAN ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SUTTER,84,Y,UP-TO-DATE,58,69,
2016-2017,132977,SUTTER,PUBLIC,NUESTRO ELEMENTARY,LIVE OAK,SUTTER PEAK CHARTER ACADEMY,32,Y,OTHERS,22,69,
2016-2017,6057756,LOS ANGELES,PUBLIC,INGLEWOOD UNIFIED,INGLEWOOD,MONROE (ALBERT F.) MAGNET MIDDLE SCHOOL,204,Y,OVERDUE,140,69,
2016-2017,106799,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,LA MESA,LEARNING CHOICE ACADEMY,64,Y,UP-TO-DATE,45,70,
2016-2017,110007,SANTA CRUZ,PUBLIC,SAN LORENZO VALLEY UNIFIED,BOULDER CREEK,OCEAN GROVE CHARTER,183,Y,OTHERS,129,70,
2016-2017,127191,SAN JOAQUIN,PUBLIC,NEW JERUSALEM ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SAN JOAQUIN,127,Y,UP-TO-DATE,89,70,
2016-2017,5630363,VENTURA,PUBLIC,MESA UNION ELEMENTARY,VENTURA,GOLDEN VALLEY CHARTER,44,Y,UP-TO-DATE,31,70,
2016-2017,6120893,SAN DIEGO,PUBLIC,SPENCER VALLEY ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO,169,Y,UP-TO-DATE,119,70,
2016-2017,7081631,SAN DIEGO,PRIVATE,,SAN DIEGO,WALDORF SCHOOL OF SAN DIEGO,23,Y,UP-TO-DATE,16,70,
2016-2017,106757,SACRAMENTO,PUBLIC,FOLSOM-CORDOVA UNIFIED,MATHER,FOLSOM CORDOVA K-8 COMMUNITY CHARTER,24,Y,OVERDUE,17,71,
2016-2017,112706,LOS ANGELES,PUBLIC,WEST COVINA UNIFIED,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ LOS ANGELES,262,Y,UP-TO-DATE,187,71,
2016-2017,121640,SHASTA,PUBLIC,COTTONWOOD UNION ELEMENTARY,COTTONWOOD,COTTONWOOD CREEK CHARTER,28,Y,UP-TO-DATE,20,71,
